"cluster","00:00:00","01:00:00","02:00:00","03:00:00","04:00:00","05:00:00","06:00:00","07:00:00","08:00:00","09:00:00","10:00:00","11:00:00","12:00:00","13:00:00","14:00:00","15:00:00","16:00:00","17:00:00","18:00:00","19:00:00","20:00:00","21:00:00","22:00:00","23:00:00","load_condition","frequency"
"Shape 2",0.779019838409212,0.777367505646669,0.776438987392782,0.771424776989137,0.756491374140132,0.734627425930838,0.691899387850946,0.651480568653163,0.594747240373426,0.555824275547316,0.532931218762798,0.513795815474123,0.521160141109712,0.519664575988404,0.528997110725951,0.541383559823749,0.584479148821631,0.648437117455363,0.705221675743788,0.759274838847084,0.780815682987,0.77813045696665,0.761965377293464,0.747240543531942,"Winter workdays","Infrequent load shape"
"Shape 2",0.779019838409212,0.777367505646669,0.776438987392782,0.771424776989137,0.756491374140132,0.734627425930838,0.691899387850946,0.651480568653163,0.594747240373426,0.555824275547316,0.532931218762798,0.513795815474123,0.521160141109712,0.519664575988404,0.528997110725951,0.541383559823749,0.584479148821631,0.648437117455363,0.705221675743788,0.759274838847084,0.780815682987,0.77813045696665,0.761965377293464,0.747240543531942,"Summer workdays","Infrequent load shape"
"Shape 3",0.337221669346744,0.332897620587397,0.331371944137475,0.331854116610037,0.346576255371891,0.414571597542264,0.522032661996785,0.647716599797901,0.77308260596482,0.865475921612449,0.907120993835388,0.930121871500354,0.927101760138789,0.92584656726218,0.915777526819534,0.889801507334022,0.816790371339227,0.680182690827199,0.567643975016741,0.484426813785033,0.42334982880881,0.390345749648187,0.358928295072181,0.344804866503447,"Summer weekends","Infrequent load shape"
"Shape 3",0.337221669346744,0.332897620587397,0.331371944137475,0.331854116610037,0.346576255371891,0.414571597542264,0.522032661996785,0.647716599797901,0.77308260596482,0.865475921612449,0.907120993835388,0.930121871500354,0.927101760138789,0.92584656726218,0.915777526819534,0.889801507334022,0.816790371339227,0.680182690827199,0.567643975016741,0.484426813785033,0.42334982880881,0.390345749648187,0.358928295072181,0.344804866503447,"Summer workdays","Infrequent load shape"
"Shape 3",0.337221669346744,0.332897620587397,0.331371944137475,0.331854116610037,0.346576255371891,0.414571597542264,0.522032661996785,0.647716599797901,0.77308260596482,0.865475921612449,0.907120993835388,0.930121871500354,0.927101760138789,0.92584656726218,0.915777526819534,0.889801507334022,0.816790371339227,0.680182690827199,0.567643975016741,0.484426813785033,0.42334982880881,0.390345749648187,0.358928295072181,0.344804866503447,"Winter weekends","Infrequent load shape"
"Shape 3",0.337221669346744,0.332897620587397,0.331371944137475,0.331854116610037,0.346576255371891,0.414571597542264,0.522032661996785,0.647716599797901,0.77308260596482,0.865475921612449,0.907120993835388,0.930121871500354,0.927101760138789,0.92584656726218,0.915777526819534,0.889801507334022,0.816790371339227,0.680182690827199,0.567643975016741,0.484426813785033,0.42334982880881,0.390345749648187,0.358928295072181,0.344804866503447,"Winter workdays","Infrequent load shape"
"Shape 4",0.63343014979828,0.618199421422621,0.60814110461659,0.600880418372233,0.599931076150592,0.613884379856546,0.658383014674644,0.727758808431956,0.774308473178313,0.833436564532877,0.879901093105654,0.909620542611872,0.926912032223716,0.935672159211991,0.941113151985371,0.941352210969899,0.932478732648425,0.904508859153149,0.868178766291659,0.83811607462461,0.809452533859383,0.77618166527439,0.734919107142297,0.677633247542074,"Summer workdays","Frequent load shape"
"Shape 4",0.63343014979828,0.618199421422621,0.60814110461659,0.600880418372233,0.599931076150592,0.613884379856546,0.658383014674644,0.727758808431956,0.774308473178313,0.833436564532877,0.879901093105654,0.909620542611872,0.926912032223716,0.935672159211991,0.941113151985371,0.941352210969899,0.932478732648425,0.904508859153149,0.868178766291659,0.83811607462461,0.809452533859383,0.77618166527439,0.734919107142297,0.677633247542074,"Summer weekends","Frequent load shape"
"Shape 4",0.63343014979828,0.618199421422621,0.60814110461659,0.600880418372233,0.599931076150592,0.613884379856546,0.658383014674644,0.727758808431956,0.774308473178313,0.833436564532877,0.879901093105654,0.909620542611872,0.926912032223716,0.935672159211991,0.941113151985371,0.941352210969899,0.932478732648425,0.904508859153149,0.868178766291659,0.83811607462461,0.809452533859383,0.77618166527439,0.734919107142297,0.677633247542074,"Winter weekends","Frequent load shape"
"Shape 4",0.63343014979828,0.618199421422621,0.60814110461659,0.600880418372233,0.599931076150592,0.613884379856546,0.658383014674644,0.727758808431956,0.774308473178313,0.833436564532877,0.879901093105654,0.909620542611872,0.926912032223716,0.935672159211991,0.941113151985371,0.941352210969899,0.932478732648425,0.904508859153149,0.868178766291659,0.83811607462461,0.809452533859383,0.77618166527439,0.734919107142297,0.677633247542074,"Winter workdays","Frequent load shape"
